n,p_removed,T,binder,binder_err,n_realizations
24,0.2,3.884,0.07109659243282321,0.016584214637272176,12
24,0.2,3.91,0.011140771703571297,0.037441292557149626,12
24,0.2,3.936,0.049436362370677896,0.027427017660657485,12
24,0.2,3.962,0.019373807020165057,0.028246309976416684,12
24,0.2,3.988,0.019380987976031678,0.025798605021244567,12
24,0.2,4.014,0.015291125736723976,0.028792829919563008,12
24,0.2,4.04,0.022952222395515243,0.03693655502984747,12
24,0.2,4.066,0.0058655956950644334,0.03742566641403446,12
24,0.2,4.092,0.02845852583617084,0.04037942602770507,12
24,0.2,4.118,-0.017750213628305218,0.024592638689820083,12
24,0.2,4.144,-0.018048617405617595,0.036213972523236646,12
24,0.2,4.17,-0.018130229873556558,0.048038527579472384,12
24,0.2,4.196,-0.04166029516901917,0.041430005754706,12
24,0.2,4.222,-0.03272928994794677,0.0374215442443263,12
24,0.2,4.248,-0.059743788432161556,0.054629743511769836,12
24,0.2,4.274,-0.008042540536944106,0.0813496172193444,12
24,0.2,4.3,-0.02760263487363236,0.0667637169238272,12
28,0.2,3.0,0.6665213310646142,3.069136453078002e-06,12
28,0.2,3.026,0.6665068189145447,2.2408253125964155e-06,12
28,0.2,3.052,0.6664801961531013,3.536183263730553e-06,12
28,0.2,3.078,0.666461178558491,4.6450469753501815e-06,12
28,0.2,3.104,0.6664257862775111,4.633989737272334e-06,12
28,0.2,3.13,0.650145785238335,0.016253047364370176,12
28,0.2,3.156,0.6663579705957356,5.098445131558671e-06,12
28,0.2,3.182,0.6663002803855662,7.595564777057265e-06,12
28,0.2,3.208,0.6662468780193206,7.049935082132837e-06,12
28,0.2,3.234,0.6661215815073064,1.512748049939004e-05,12
28,0.2,3.26,0.66608031518777,1.918001611243853e-05,12
28,0.2,3.286,0.6659294441985398,2.547818842336451e-05,12
28,0.2,3.312,0.6657293974039217,3.1629969842024166e-05,12
28,0.2,3.338,0.6654721283196838,3.278242033876701e-05,12
28,0.2,3.364,0.665217702733106,4.535784963192976e-05,12
28,0.2,3.39,0.6645529938831268,6.748973520294539e-05,12
28,0.2,3.416,0.6636858401648987,0.00012950028599047203,12
28,0.2,3.442,0.6617549556499561,0.0002614082349028311,12
28,0.2,3.468,0.6591443637354947,0.0002247807881763862,12
28,0.2,3.494,0.650347488084105,0.0011975602943284601,12
28,0.2,3.52,0.6072487827449439,0.01738532634689067,12
28,0.2,3.546,0.4819766160676562,0.03321713121664464,12
28,0.2,3.572,0.32829615939575296,0.042197449817015634,12
28,0.2,3.598,0.262727023217596,0.04202160354702057,12
28,0.2,3.624,0.15802178579284643,0.026918531164751205,12
28,0.2,3.65,0.09777319748639018,0.03370976133449166,12
28,0.2,3.676,0.17134289444395753,0.024752119238977754,12
28,0.2,3.702,0.06818887011096651,0.02795304789069056,12
28,0.2,3.728,0.05477263744303549,0.037276968259312475,12
28,0.2,3.754,0.0825175416164498,0.03152356603688067,12
28,0.2,3.78,0.05371245029638456,0.03067664136647589,12
28,0.2,3.806,-0.0018522616147988076,0.04664900729119341,12
28,0.2,3.832,0.01863133251262773,0.036944929958028894,12
28,0.2,3.858,0.03955025769976773,0.029858360889882644,12
28,0.2,3.884,-0.02806821044496774,0.03588392967051736,12
28,0.2,3.91,0.06743423649823692,0.030364862539949543,12
28,0.2,3.936,0.027510407721105985,0.05012105842176494,12
28,0.2,3.962,-0.03962658586490192,0.04610543671609102,12
