t,rho
9960,0.02026667
9970,0.01924267
9980,0.01829867
9990,0.01942933
10000,0.01974400
10010,0.02012800
10020,0.01978667
10030,0.01990400
10040,0.01994667
10050,0.01957333
10060,0.01861333
10070,0.02016533
10080,0.01966933
10090,0.01892800
10100,0.01946133
10110,0.01989867
10120,0.01953067
10130,0.01860267
10140,0.01971200
10150,0.02010133
10160,0.01921067
10170,0.01830400
10180,0.01936000
10190,0.02012800
10200,0.01986667
10210,0.01918400
10220,0.01907200
10230,0.01867733
10240,0.01914667
10250,0.01920000
10260,0.01950933
10270,0.01904000
10280,0.01867200
10290,0.02034667
10300,0.01925333
10310,0.01856000
10320,0.01881067
10330,0.01921067
10340,0.01907200
10350,0.01984533
10360,0.01911467
10370,0.01914133
10380,0.01869333
10390,0.01950933
10400,0.01877867
10410,0.01920533
10420,0.01930667
10430,0.01996267
10440,0.02023467
10450,0.01988800
10460,0.01931200
10470,0.02063467
10480,0.01885867
10490,0.02015467
10500,0.01939200
10510,0.01950400
10520,0.01949333
10530,0.01984533
10540,0.01990933
10550,0.01997333
10560,0.02092800
10570,0.01922133
10580,0.01983467
10590,0.01888000
10600,0.02040000
10610,0.01992000
10620,0.01954133
10630,0.01823467
10640,0.01958400
10650,0.01873600
10660,0.02006400
10670,0.01899200
10680,0.01921600
10690,0.01882133
10700,0.02050133
10710,0.02029333
10720,0.01903467
10730,0.01907200
10740,0.01955733
10750,0.01955200
10760,0.01842133
10770,0.01950400
10780,0.01902400
10790,0.01856000
10800,0.01934400
10810,0.01941333
10820,0.01953600
10830,0.01962133
10840,0.02021333
10850,0.01980267
10860,0.02045333
10870,0.01946133
10880,0.02083733
10890,0.01924267
10900,0.01869333
10910,0.01986133
10920,0.01891200
10930,0.01995733
10940,0.01844800
10950,0.02010133
10960,0.02009067
10970,0.01940267
10980,0.01985067
10990,0.01988267
11000,0.01841600
11010,0.01997333
11020,0.01923200
11030,0.01913067
11040,0.01929600
11050,0.01884267
11060,0.02075200
11070,0.01866133
11080,0.01926400
11090,0.01858667
11100,0.01991467
11110,0.01954667
11120,0.01864533
11130,0.01874133
11140,0.01998400
11150,0.02062933
11160,0.02017600
11170,0.01957333
11180,0.01976000
11190,0.01851200
11200,0.01916267
11210,0.01810667
11220,0.02001067
11230,0.01858133
11240,0.02016000
11250,0.02048000
11260,0.02016533
11270,0.01917333
11280,0.01920533
11290,0.01942400
11300,0.02107733
