temp_idx,E,M
2,-1.04239086,0.21764921
3,-1.00082374,0.12826647
4,-0.96407853,0.01142392
5,-0.93897944,0.00436476
6,-0.91721581,0.00712173
7,-0.89778960,0.00285612
8,-0.88103089,0.00241209
9,-0.86430892,0.00203276
10,-0.84897887,0.00310078
11,-0.83422403,0.00210802
12,-0.81945957,0.00176865
13,-0.80923256,0.00204933
14,-0.79498698,0.00233116
15,-0.78455145,0.00082098
0,-1.11374051,0.30278654
1,-1.07889231,0.26703702
2,-1.04211998,0.21692525
3,-1.00047503,0.12230162
4,-0.96346465,0.01232530
5,-0.93883954,0.00606284
6,-0.91690459,0.00324736
7,-0.89821347,0.00485603
8,-0.88048292,0.00232664
9,-0.86412229,0.00203574
10,-0.84817004,0.00254499
11,-0.83414803,0.00327933
12,-0.82028560,0.00196804
13,-0.80875930,0.00197266
14,-0.79492480,0.00079221
15,-0.78502293,0.00380555
0,-1.11393285,0.30240998
1,-1.07952000,0.26848440
2,-1.04097650,0.21164635
3,-1.00058805,0.12255874
4,-0.96362857,0.00864897
5,-0.93912680,0.00432699
6,-0.91710731,0.00163741
7,-0.89779768,0.00307345
8,-0.88076953,0.00343351
9,-0.86388285,0.00341993
10,-0.84859727,0.00319757
11,-0.83339375,0.00423721
12,-0.82057460,0.00402611
13,-0.80886721,0.00272408
14,-0.79526607,0.00108771
15,-0.78446358,0.00124157
0,-1.11346116,0.30277384
1,-1.07932375,0.26989646
2,-1.04070769,0.21419812
3,-1.00002186,0.11831961
4,-0.96400024,0.00773952
5,-0.93945108,0.00399772
6,-0.91706078,0.00522027
7,-0.89790533,0.00575056
8,-0.88034876,0.00354425
9,-0.86409191,0.00146861
10,-0.84841127,0.00245223
11,-0.83314182,0.00365563
12,-0.82089200,0.00242018
13,-0.80790969,0.00125311
14,-0.79510178,0.00105929
15,-0.78426563,0.00086979
0,-1.11416814,0.30362287
1,-1.07917520,0.26731964
2,-1.04079361,0.21583025
3,-1.00002835,0.11415137
4,-0.96391455,0.01145394
5,-0.93940170,0.00287859
6,-0.91710752,0.00286693
7,-0.89847939,0.00699688
8,-0.88058096,0.00344329
9,-0.86402848,0.00354702
10,-0.84827804,0.00385683
11,-0.83347405,0.00335881
12,-0.82039178,0.00346786
13,-0.80809043,0.00151523
14,-0.79437655,0.00131001
15,-0.78467227,0.00169735
0,-1.11345229,0.30294815
1,-1.07959752,0.27056266
2,-1.04014204,0.21059910
3,-0.99944694,0.11581117
4,-0.96342687,0.01333267
5,-0.93949477,0.00602911
6,-0.91733956,0.00764320
7,-0.89807656,0.00405970
8,-0.88052068,0.00250173
9,-0.86404361,0.00349798
10,-0.84803127,0.00220217
11,-0.83319974,0.00301844
12,-0.82095089,0.00117499
13,-0.80846622,0.00270098
14,-0.79487599,0.00084723
15,-0.78416302,0.00183168
0,-1.11368282,0.30376423
1,-1.07946678,0.26662840
2,-1.04064410,0.21392200
3,-0.99939019,0.11242368
4,-0.96354486,0.01125448
5,-0.93930209,0.00367083
6,-0.91780263,0.00580048
7,-0.89763170,0.00465059
8,-0.87938123,0.00327284
9,-0.86399160,0.00220426
10,-0.84818681,0.00223070
11,-0.83360597,0.00170597
12,-0.82141599,0.00150616
13,-0.80856696,0.00148230
14,-0.79579249,0.00148431
15,-0.78406660,0.00169634
0,-1.11385506,0.30238858
1,-1.07862603,0.26656000
2,-1.04012245,0.21771971
3,-0.99966841,0.11709276
4,-0.96370773,0.02028735
5,-0.93933260,0.00309183
6,-0.91801713,0.00746253
7,-0.89845625,0.00708911
8,-0.87984618,0.00300763
9,-0.86475018,0.00380022
10,-0.84826759,0.00248511
11,-0.83391775,0.00236321
12,-0.82121359,0.00281080
13,-0.80839688,0.00107538
14,-0.79577142,0.00378623
15,-0.78389103,0.00137871
0,-1.11439672,0.30359130
1,-1.07849513,0.26384365
2,-1.03954815,0.22018929
3,-0.99981109,0.12066304
4,-0.96365872,0.01573940
5,-0.93972234,0.00342552
6,-0.91811198,0.00409982
7,-0.89807447,0.00512920
8,-0.87987916,0.00235821
9,-0.86486770,0.00283317
10,-0.84803375,0.00172917
11,-0.83408567,0.00138352
12,-0.82090841,0.00173453
13,-0.80840510,0.00222643
14,-0.79548536,0.00221901
15,-0.78363489,0.00075910
0,-1.11417917,0.30604719
1,-1.07824294,0.26367798
2,-1.03949682,0.22365659
3,-0.99994123,0.11980009
4,-0.96384931,0.00933636
5,-0.94010816,0.00900684
6,-0.91802327,0.00253519
7,-0.89804154,0.00443928
8,-0.88010051,0.00138699
9,-0.86477707,0.00354312
10,-0.84831966,0.00212605
11,-0.83403933,0.00214067
12,-0.82103925,0.00361050
13,-0.80871925,0.00194244
14,-0.79557378,0.00144511
15,-0.78334162,0.00192656
0,-1.11486107,0.30258730
1,-1.07801462,0.26528106
2,-1.03962520,0.22043805
3,-1.00040375,0.11399784
4,-0.96456286,0.00336435
5,-0.94035881,0.00676783
6,-0.91708125,0.00629519
7,-0.89873716,0.00333558
8,-0.87957912,0.00191451
9,-0.86449208,0.00207211
10,-0.84864272,0.00364984
11,-0.83445483,0.00206577
12,-0.82111821,0.00128211
13,-0.80922319,0.00320637
14,-0.79507108,0.00113577
15,-0.78364343,0.00333399
0,-1.11469042,0.30017954
1,-1.07800987,0.26414401
2,-1.03955381,0.21961725
3,-1.00040586,0.11230245
4,-0.96465594,0.00661125
5,-0.94044684,0.00927455
6,-0.91729394,0.00330538
7,-0.89865977,0.00327734
8,-0.87973670,0.00135829
9,-0.86434557,0.00297624
10,-0.84819225,0.00166024
11,-0.83469729,0.00410693
12,-0.82160938,0.00193289
13,-0.80923772,0.00186433
14,-0.79524723,0.00181087
15,-0.78341504,0.00118013
0,-1.11448319,0.30109711
1,-1.07739486,0.26712116
2,-1.04030548,0.21958663
3,-0.99982732,0.11114779
4,-0.96400750,0.00522137
5,-0.94014305,0.01045923
6,-0.91695463,0.00565917
7,-0.89857959,0.00108357
8,-0.87955595,0.00431906
9,-0.86449785,0.00484003
10,-0.84878213,0.00574205
11,-0.83485245,0.00120939
12,-0.82156922,0.00206875
13,-0.80908742,0.00171769
14,-0.79524475,0.00232452
15,-0.78340627,0.00237986
0,-1.11515326,0.29972594
1,-1.07708201,0.26350402
2,-1.04046679,0.21348697
3,-0.99954822,0.11049256
4,-0.96436579,0.01301367
5,-0.94023171,0.00835582
6,-0.91681875,0.00720171
7,-0.89922317,0.00518080
8,-0.88059965,0.00237689
9,-0.86401215,0.00407138
10,-0.84916560,0.00398439
11,-0.83440592,0.00186140
12,-0.82135449,0.00497447
13,-0.80853752,0.00148414
14,-0.79531866,0.00109189
15,-0.78331585,0.00135519
0,-1.11529878,0.30121505
1,-1.07743652,0.26276764
2,-1.04033166,0.21368934
3,-0.99935345,0.10991508
4,-0.96404240,0.01396723
5,-0.94007012,0.00651173
6,-0.91751242,0.00471920
7,-0.89875490,0.00176811
8,-0.88063047,0.00381640
9,-0.86400899,0.00121522
10,-0.84938875,0.00234688
11,-0.83449413,0.00141130
12,-0.82116657,0.00147842
13,-0.80845638,0.00324383
14,-0.79571384,0.00112484
15,-0.78287441,0.00093765
0,-1.11543722,0.30465628
1,-1.07752652,0.26807271
2,-1.04098769,0.21922846
3,-1.00001265,0.10753172
4,-0.96391062,0.00842657
5,-0.94084229,0.00312423
6,-0.91738792,0.00368358
7,-0.89838439,0.00703311
8,-0.88062463,0.00342046
9,-0.86420372,0.00357385
10,-0.84890926,0.00193465
11,-0.83449747,0.00207483
12,-0.82106803,0.00249707
13,-0.80789472,0.00264175
14,-0.79521415,0.00073174
15,-0.78351400,0.00099940
0,-1.11513056,0.30395442
1,-1.07898154,0.26768714
2,-1.04130008,0.21454555
3,-1.00027475,0.10607111
4,-0.96410220,0.00690106
5,-0.94053413,0.00482385
6,-0.91765481,0.00438063
7,-0.89791778,0.00168707
8,-0.88088719,0.00155686
9,-0.86475282,0.00128384
10,-0.84945885,0.00364086
11,-0.83464594,0.00198602
12,-0.82108552,0.00181537
13,-0.80763007,0.00122172
14,-0.79544862,0.00142280
15,-0.78406759,0.00189750
0,-1.11495057,0.30190456
1,-1.07890232,0.26615667
2,-1.04181386,0.21442884
3,-1.00028483,0.11079164
4,-0.96335731,0.01013772
5,-0.94037693,0.00606539
6,-0.91765696,0.00431423
7,-0.89831766,0.00173499
8,-0.88043916,0.00129161
9,-0.86474391,0.00290300
10,-0.84906495,0.00259705
11,-0.83463403,0.00223486
12,-0.82154152,0.00081093
13,-0.80768279,0.00343974
14,-0.79518025,0.00295068
15,-0.78437817,0.00210146
0,-1.11488721,0.30095385
1,-1.07869677,0.26701993
2,-1.04173354,0.21726909
3,-0.99984480,0.11543118
4,-0.96317063,0.01019809
5,-0.94085342,0.00987084
6,-0.91813811,0.00365800
7,-0.89834331,0.00120437
8,-0.88024163,0.00282186
9,-0.86498902,0.00405370
10,-0.84899900,0.00156881
11,-0.83429039,0.00111252
12,-0.82136386,0.00272862
13,-0.80787536,0.00068097
14,-0.79524743,0.00167774
15,-0.78404942,0.00186918
0,-1.11443877,0.29896512
1,-1.07902183,0.26518994
2,-1.04242237,0.21588805
3,-0.99957309,0.11702209
4,-0.96327769,0.01080964
5,-0.94073536,0.00792117
6,-0.91773914,0.00575302
7,-0.89809620,0.00277576
8,-0.88041166,0.00344824
9,-0.86507249,0.00183089
10,-0.84898250,0.00229810
11,-0.83544689,0.00173207
12,-0.82055309,0.00112529
13,-0.80849339,0.00097192
14,-0.79501261,0.00220769
15,-0.78404690,0.00120973
0,-1.11436262,0.29864482
