p_removed,T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,mean_degree,mean_degree_err,n_realizations
0.2,4.014,-0.7066442500000001,0.0001317282628264482,0.018219916666666666,0.00015745997366975781,0.0005276666666666666,7.71198725846636e-06,1e-06,6.384751070707751e-23,0.27662566666666666,0.003985481424730101,4.272424333333333,0.06378968392295024,4.800048828125,0.0,12
0.2,4.04,-0.6994509166666667,0.00014488561101012767,0.01723075,0.0002284021614356677,0.00046150000000000005,1.1279842573584459e-05,9.166666666666666e-07,8.333333333333333e-08,0.26921416666666664,0.00294340229036557,3.7329839166666665,0.09089576097347084,4.800048828125,0.0,12
0.2,4.066,-0.6927274166666667,0.000196406753970051,0.017255166666666665,0.0003228095843957826,0.0004718333333333334,1.6268967174633212e-05,1e-06,6.384751070707751e-23,0.25950333333333336,0.002728344834392005,3.76030175,0.12870343868467335,4.800048828125,0.0,12
0.2,4.092,-0.685784,0.00013499450044914983,0.016332916666666666,0.0002487474518929438,0.00042050000000000003,1.142067503179292e-05,5.833333333333333e-07,1.486470975026408e-07,0.2556570833333333,0.0027437648831882757,3.335425416666667,0.08918236342524796,4.800048828125,0.0,12
0.2,4.118,-0.6795383333333334,0.00010287896193139358,0.016332583333333334,0.00016608492982248983,0.00041641666666666666,7.826197588028857e-06,4.166666666666666e-07,1.486470975026408e-07,0.24823308333333335,0.0024833741143438152,3.283477916666667,0.06094251122381255,4.800048828125,0.0,12
0.2,4.144,-0.67288775,0.00015692109216630697,0.015679666666666665,0.00021357854042317298,0.000386,9.946828335675345e-06,3.333333333333333e-07,1.421338109037403e-07,0.24111616666666666,0.0029225017609796717,3.0242879166666667,0.07809828361347375,4.800048828125,0.0,12
0.2,4.17,-0.6666943333333334,9.087006485564211e-05,0.015300916666666666,0.00023333265557260862,0.00037033333333333335,1.1358706001134194e-05,3.333333333333333e-07,1.421338109037403e-07,0.23753625,0.002074617811188365,2.8879491666666666,0.08880463310999323,4.800048828125,0.0,12
0.2,4.196,-0.6610601666666667,0.00012827130535617934,0.015054416666666667,0.00011166660730437137,0.00035125,5.5828810309785945e-06,0.0,0.0,0.22991575,0.0014403279199701208,2.724529,0.045094842122918095,4.800048828125,0.0,12
0.2,4.222,-0.654754,0.00012521381712894312,0.014524166666666666,0.00015373244335993032,0.00033141666666666665,6.370455401319599e-06,0.0,0.0,0.22596866666666668,0.002186140706100293,2.5442660833333335,0.05232414257639993,4.800048828125,0.0,12
0.2,4.248,-0.6490540833333334,0.00013932790287735582,0.014252583333333332,0.00017279938702601243,0.0003210833333333333,7.071558841192261e-06,0.0,0.0,0.221052,0.0016254081352265375,2.4661489166666666,0.05296362625560401,4.800048828125,0.0,12
0.2,4.274,-0.6434055,0.0001333619760901429,0.01390925,0.00016775645789854604,0.00030566666666666665,6.697278204878111e-06,0.0,0.0,0.2161753333333333,0.002024663575994687,2.3265915,0.04773520127754335,4.800048828125,0.0,12
0.2,4.3,-0.6379521666666667,9.856783799428995e-05,0.013811666666666667,0.00016386294778431658,0.00029725,7.43876517123153e-06,0.0,0.0,0.20547466666666667,0.0016989588136576625,2.2426998333333334,0.05533337238240226,4.800048828125,0.0,12
0.3,2.4,-1.6441085,0.0001855942748267954,0.8215758333333333,0.00011432773420338895,0.6750138333333333,0.00018789732985238772,0.4557165,0.00025377272998659237,0.7247826666666667,0.009323938590444697,0.36686016666666665,0.005756713387669894,4.20001220703125,0.0,12
0.3,2.428,-1.6240529166666666,0.00017739245390381656,0.8131218333333333,0.00013607917889704211,0.6611965,0.0002211682309094983,0.43725891666666666,0.0002921170753864335,0.7506749166666666,0.006323256785121162,0.39564125,0.003274175288538437,4.20001220703125,0.0,12
0.3,2.456,-1.6022506666666667,0.00016888472549360113,0.803661,9.321821905419526e-05,0.6459038333333333,0.00014972352466591183,0.41727675000000003,0.00019300416564039608,0.793545,0.007725258060806811,0.436947,0.007484235836784278,4.20001220703125,0.0,12
0.3,2.484,-1.5620607499999999,0.012616728172336182,0.7087833333333333,0.06204572520929605,0.5502316666666666,0.05662425719779483,0.3436854166666667,0.037325180369869725,2.465695,1.6617814062519556,72.70701858333332,69.76291555495756,4.20001220703125,0.0,12
0.3,2.512,-1.5459665833333334,0.011381560864130814,0.73105275,0.0526615056591603,0.5650965,0.04914999220467586,0.34600458333333334,0.03138828589966432,0.8191109166666667,0.01111755281652202,1.9909566666666665,1.4993829526121703,4.20001220703125,0.0,12
0.3,2.54,-1.5338770000000002,0.0002717649385372901,0.7729978333333333,0.00018476097717556262,0.59756825,0.0002858295244467481,0.3571900833333333,0.00034212182081500844,0.8461215000000001,0.015150813719271341,0.5470827500000001,0.008796491258248332,4.20001220703125,0.0,12
0.3,2.568,-1.5089394166666665,0.00025443727149586495,0.7612702499999999,0.00011465310823206417,0.5795794166666667,0.000173960046716292,0.33602183333333335,0.00020039982131688267,0.8757714166666667,0.015539862436239506,0.6010169166666667,0.012353159782541671,4.20001220703125,0.0,12
0.3,2.596,-1.4841619166666666,0.00030131033177664674,0.7495471666666665,0.00017636192269811929,0.5618744166666666,0.0002644261212722994,0.3158229166666667,0.0002972428468016474,0.916947,0.010305842947012384,0.6709554999999999,0.008939280430416996,4.20001220703125,0.0,12
0.3,2.624,-1.4580658333333334,0.0003360492576027397,0.7367419166666666,0.00020560820561731818,0.5428491666666667,0.0003025933823640331,0.29481583333333333,0.00032770674328728603,0.9607942500000001,0.014341236384891941,0.747394,0.012666191714381023,4.20001220703125,0.0,12
0.3,2.652,-1.4310545000000001,0.00048239995822654135,0.7230276666666667,0.00027001022240281535,0.5228364166666667,0.0003902027922320051,0.2734985,0.0004076316574823625,0.9750253333333334,0.010539734991301664,0.82109625,0.01104290658181175,4.20001220703125,0.0,12
0.3,2.68,-1.4040578333333331,0.00041919439031156867,0.7091743333333334,0.0002606791343991931,0.5030016666666667,0.00036932196952214934,0.25315841666666666,0.00037070713463827233,1.00246075,0.016582224730170982,0.8890216666666667,0.02211953886353316,4.20001220703125,0.0,12
0.3,2.708,-1.3744575,0.00046371419652692716,0.6931699166666667,0.00027461103230871177,0.4805698333333333,0.00038026300374898754,0.23111158333333334,0.00036475800317997025,1.0467346666666666,0.011465195272711847,1.02325375,0.014056970840619092,4.20001220703125,0.0,12
0.3,2.736,-1.3446503333333333,0.0005537027609419557,0.6765765,0.0003294093543408782,0.4578535833333333,0.0004462751810794296,0.20980875,0.0004098793452365161,1.078335,0.016918637920675206,1.1561659166666667,0.02108573262086143,4.20001220703125,0.0,12
0.3,2.764,-1.3139308333333333,0.0004469055020670118,0.6588646666666667,0.00030439625623204054,0.43421383333333335,0.0004011284618788509,0.18873433333333334,0.000348620166086272,1.1017641666666667,0.01505911832092222,1.3053245,0.027651080223159024,4.20001220703125,0.0,12
0.3,2.792,-1.2721043333333333,0.00967852059532557,0.5905826666666667,0.04891829236289857,0.3753455833333333,0.03374689406392076,0.15360441666666666,0.013966185507437475,1.1238846666666666,0.023004507038092713,5.4464032499999995,3.9486169774881112,4.20001220703125,0.0,12
0.3,2.82,-1.24869575,0.0006977519977605243,0.6185631666666667,0.000496026527170237,0.3827878333333334,0.0006106780364000428,0.14678183333333333,0.0004634226396382595,1.2425705,0.020799943309399726,1.9144356666666666,0.05475841599192261,4.20001220703125,0.0,12
0.3,2.848,-1.2145590000000002,0.0007608894814822327,0.5954273333333333,0.0006070815098452321,0.35472175,0.0007209378585102416,0.12609341666666665,0.0005090197718719449,1.2266245,0.023874568602321792,2.1174044166666666,0.06077361777424955,4.20001220703125,0.0,12
0.3,2.876,-1.1786466666666666,0.0006733484096722033,0.5702677500000001,0.0005756831399750367,0.32544525,0.0006516653040945222,0.10622491666666667,0.00041864055708370357,1.3252724999999999,0.036178390914873404,2.693406833333333,0.1106711732100751,4.20001220703125,0.0,12
0.3,2.904,-1.1417885833333334,0.0006983482509978299,0.5419685833333333,0.0006540184231759402,0.2940195,0.0007066352569491827,0.0867855,0.00041358827975598536,1.3589831666666665,0.024699498288621093,3.2149556666666665,0.11032747697102899,4.20001220703125,0.0,12
